belarusian,polish,meaning
дом,dom,house
вада,woda,water
мова,mowa,language/speech
рука,ręka,hand
ноч,noc,night
дзень,dzień,day
хлеб,chleb,bread
сон,sen,sleep/dream
зямля,ziemia,earth/land
вецер,wiatr,wind
вясна,wiosna,spring
лета,lato,summer
зіма,zima,winter
вокны,okna,windows
гора,góra,mountain
чалавек,człowiek,person
дрэва,drzewo,tree
зуб,ząb,tooth
вуха,ucho,ear
вока,oko,eye
